"","SN20A","SN20B","SN20C","SN20D","SN21A","SN21B","SN21C","SN21D","SN22A","SN22B","SN22C","SN22D","SN23A","SN23B","SN23C","SN23D","SN24A","SN24B","SN24C","SN24D","SN25A","SN25B","SN25C","SN25D"
"ly Endothelial cells",0,0,0,3.81843276030573e-21,3.76558096746519e-20,0.000269969166705613,0.00037714015421551,4.84361709527638e-05,3.67690443202501e-19,1.10718748535283e-20,1.16802140167638e-19,1.551229465502e-20,0,0,0,4.54835991516484e-20,1.56890001562725e-19,6.9873858539883e-20,1.36232975355608e-19,2.87808202782545e-20,2.21429678123157e-19,0,0,1.87032164118945e-19
"Macrophages",0.00903915918309533,0.00669997339342667,0.00416404272414926,1.08666332738449e-18,0,9.54527560275218e-20,6.14414498423821e-19,0,0.00181946144745923,0.00104066472617259,0.000671780049923389,5.76604482274899e-20,8.37055343246257e-19,0.00103804457962596,2.752048830705e-21,0,0.00026199851768996,4.89850303582386e-21,0.00182324773525636,1.20726357167759e-18,0.00150653519945401,0.000787691210400331,0.00125742613972277,8.50241393078422e-19
"Macrophages M1",0.00547690627201122,0.00535292654355818,0.00278742113160824,2.29368394917916e-19,0,0,0,0,0,0.000810473899057712,0,2.13708489250829e-19,2.14642032617609e-18,0.000663990679191692,9.10121885643107e-20,1.26106649471052e-19,4.08473914010609e-19,1.90027279082464e-19,4.37021784887299e-19,0,0,1.69353802574849e-18,0,1.70850149715345e-19
"Macrophages M2",0.00925943039287029,0.0055367349261533,0.00505705669665874,0.00547206358683334,0.00722465179588939,0,0,5.62281151935522e-19,0.00885444646259833,0.00788371903129997,0.00650297011828306,0.00647719105805888,0.000777507673713437,0.0092103917930933,0.00421952622333792,0.00586931234363187,0.00430547274203468,0.00614525416494654,0.00747788821785155,0.00359949372467627,0.0123196874147717,0.0101147398348685,0.0105372350765746,0.00800574299145925
"Mast cells",0.00213228140441034,0.00271371166688429,0.00163481342104927,0.00133510675483764,0,0,2.62277037069575e-21,1.20772869568015e-19,9.68400631912118e-05,0.00025830530580489,0,0.000137136437123323,0,5.34211576648925e-05,3.27448426738924e-20,0,0.000465480876435951,3.98839228423194e-21,0.00076409461659087,0.000198850753322788,0.00333644111285765,0.00175281506646236,0.00211963753803172,0.00275357059443831
"Megakaryocytes",0,0,1.20873437522946e-21,8.78708060858596e-22,0,0,5.22263109107008e-20,4.44727569865843e-20,0,1.45681939521692e-22,7.7217243326891e-21,4.65631267970005e-21,0,3.39693818726905e-21,1.13574460635909e-19,3.07475617116206e-21,8.61024440289552e-21,0,1.1769713239099e-21,0,1.25534339265441e-20,0,5.64973676152035e-20,0
"Melanocytes",0.00204990988819524,0,7.1701398894531e-19,0,0.000260675677811308,1.75754221930389e-05,0.000491526537059391,0.000497883700054526,0.00132104114301064,1.39856894077026e-21,0.000881896430026156,0.00183485452922149,0.00028785496123424,0,6.85663889144047e-05,0.00135188391649988,0.00313676792543834,0.00031650924349261,0.00248421809805182,0.00338865301802804,0.00727306094211831,0.00555894217822858,0.00558654671631018,0.00735055878559138
"Memory B-cells",0,0,0,0,0.00289689178370167,0.00020634376247549,1.2880598783477e-20,0,0.00501471662243881,0.00286172467895139,0.00334320041725546,0.0052833872725221,0.00338542917578741,0.00524923801345303,0.00293839655735812,0.00303902585073528,0.0038106957756924,0.00461327102305603,0.00253156355786815,0.00337544397326243,0.00369016511151807,0.00336315731208083,0.00308677247205457,0.00312850373644252
"MEP",0.00569860158054025,0.00527656712641166,0.00509272129862874,0.00680734769949761,0.00287222194382012,0.00509825806178574,0.012872546618699,0.00808015929057926,0.000609033444502331,0.00184404413620365,0.000572715577420916,0.0031433718839744,7.0426303472684e-19,0.00195765599962602,0.00146166408450587,0.00226682221342118,2.21669048522324e-21,3.96107054904045e-19,0.00156108799919607,0.00314128890699697,0.00610006330830577,0.00166642757932146,0.00569060401055362,0.00919282720245028
"Mesangial cells",0.00826070002240044,0.0120344151891073,0.00269275430230655,2.15437102811208e-19,0.00751614059961451,3.74523531738489e-18,0,1.70477989911728e-18,0.00809304029328577,0.00712743112047627,0.00509447753532207,0.00312328744801813,0.00378989171965397,0.0105193423801251,0.00775291494217809,0.00879801928648881,0.00939831989348775,0.00953181283236811,0.0124487486701722,0.00356082059793877,0.00111921085539487,0.00281302705230249,0.000405732900216841,2.09950678068697e-19
"Monocytes",0,2.77874333883695e-19,7.51080316686303e-19,4.26854889403428e-18,6.80696062658718e-19,0,0,0,0.000539690106966308,1.8397938494699e-19,6.47693735239748e-05,0,2.19809491868987e-18,0,0,1.2178730385881e-18,2.27448028711154e-19,0,0,5.51646267697502e-19,0,1.09192147253655e-18,1.11381938259702e-18,4.12217503690506e-18
"MPP",0,1.30780994848621e-18,5.46078992300232e-18,0,0.000872189135923803,0,0,0,0.00108846879327343,0.00114775417388826,6.49310697763703e-05,0.000981047945753706,0,0.000505723968042815,0,0,2.61311415355646e-20,4.04308800985236e-05,1.85804657542489e-19,8.49123735461867e-20,5.91850557838264e-19,7.90847005028288e-19,9.05525484728868e-19,0
"MSC",0,0,6.75980735901703e-19,9.9220218082671e-18,0.0400882213732934,0.0331899047915049,0.0482747305621877,0.0517032823017559,0.0290821434529908,0.0499618345784239,0.0438341369947932,0.0416960464000678,0.0507954710746984,0.0269317178646212,0.0562889630065632,0.00917687714037572,0.00227711332788412,0.0414946272428516,1.5946525068899e-19,0.0232891881340798,0.0111925816040462,7.72846505257713e-19,0.00145579768270565,0.0111347742266526
"mv Endothelial cells",0.00078345764428103,0,0,0.000210679696930316,0.000124552784589677,0.000479013228712946,0.00207745409675931,0.00178614707289319,0,0,0,0.000191223185545045,3.15177548100329e-19,0,0,0.000383289372564741,7.65836142991131e-20,0,0,0.000239966981865739,0,3.17459637466288e-19,5.79916967266777e-19,0
"Myocytes",0.00258497091228477,0.00222698068060507,0.00224064161576706,0.000975089566472445,0,0,0.000510690604022908,5.62499249793075e-19,2.82778785556942e-05,0,6.04078143191458e-19,0,1.43040152581024e-18,0,5.07507679925231e-19,0,0,0,0,6.39279206223711e-19,0.00149489427701042,0.000308667612439972,0.00113557186096373,0.000910664830421517
"naive B-cells",3.60620614337299e-20,0,0,7.85474832361269e-20,0.000656978026415306,8.21796719628008e-19,0,1.3109180872567e-18,7.0500222590978e-05,0.00258939879232233,0.000377121219831141,0.00085562944236001,0,0.00167401105046584,0.000296142342890372,0.000538717959026851,0,0,0,0,4.76494392939328e-20,1.64964551145139e-05,0,0
"Neurons",8.28651931374406e-06,0,0.00235915355198088,0.00621402224615081,0.0428252620606775,0.0285019989716414,0.0294117095845833,0.0321354414665497,0.0436885999501581,0.0464023220414089,0.0467282641891961,0.0423495389358755,0.0463059261631972,0.0418508247605669,0.0399125361109761,0.0336719658606556,0.0354195471370842,0.0417121409323138,0.0305131337955444,0.0347251468411659,0.0215195578844104,0.0258946845879637,0.0222168769450345,0.0181237071834902
"Neutrophils",6.63525817887012e-21,0,6.71609993414192e-22,0,0,0,0,0,4.95831483018917e-21,4.99224757380341e-20,2.22544705652533e-20,0,8.49067455269318e-20,0,6.06135638476067e-20,1.43393581825906e-19,0,6.0053879316459e-21,4.65032230654691e-20,1.62039479885076e-19,0,4.20300467093614e-20,0,0
